unnamed_0,age,gender,weight_kg,height_m,max_bpm,avg_bpm,resting_bpm,session_duration_hours,workout_type,fat_percentage,water_intake_liters,workout_frequency_daysweek,experience_level,bmi,base_met,hr_intensity,effective_met,calories_burned_kcal
33,24,Male,66.5,1.63,198,179,72,0.87,HIIT,20.9,2.9,5,1,24.9,9.5,0.849206349,8.067460317,466.7
34,38,Male,64.8,1.66,186,167,60,1.22,HIIT,18.7,3.8,6,2,23.6,9.5,0.849206349,8.067460317,637.8
35,26,Female,59.2,1.63,190,172,65,0.91,HIIT,24.6,3.3,3,1,22.2,9.5,0.856,8.132,438.1
36,56,Male,42.0,1.45,167,133,70,1.29,Cardio,12.6,3.2,7,3,20.0,7.0,0.649484536,4.546391753,246.3
37,35,Female,60.2,1.72,187,151,68,0.37,Strength,18.6,2.7,4,1,20.4,6.0,0.697478992,4.18487395,93.2
38,21,Female,79.6,1.73,198,163,60,1.01,Mixed,19.7,4.2,5,2,26.5,8.0,0.746376812,5.971014493,480.0
39,42,Male,93.2,1.84,183,135,76,0.63,Yoga,22.1,3.6,5,1,27.5,3.0,0.551401869,1.654205607,97.1
40,31,Male,58.2,1.6,186,167,59,1.35,HIIT,9.0,3.8,5,3,22.7,9.5,0.850393701,8.078740157,634.7
41,26,Female,56.5,1.59,199,178,55,1.16,HIIT,18.3,3.7,7,3,22.3,9.5,0.854166667,8.114583333,531.8
42,43,Female,43.3,1.45,178,150,85,0.81,Strength,26.3,3.3,3,0,20.6,6.0,0.698924731,4.193548387,147.1
43,19,Female,75.6,1.65,199,161,73,0.57,Strength,26.6,3.4,5,1,27.7,6.0,0.698412698,4.19047619,180.6
44,37,Female,75.6,1.77,182,148,67,0.83,Strength,28.7,3.7,3,0,24.1,6.0,0.704347826,4.226086957,265.2
45,45,Male,66.8,1.62,168,147,82,0.8,Mixed,20.3,4.2,3,0,25.5,8.0,0.755813953,6.046511628,323.1
46,24,Female,91.3,1.89,194,173,55,1.35,HIIT,19.2,3.6,7,3,25.4,9.5,0.848920863,8.064748201,994.0
47,25,Male,62.3,1.65,189,146,64,0.87,Cardio,17.9,3.2,4,1,22.8,7.0,0.656,4.592,248.9
48,52,Female,55.5,1.69,169,133,66,1.01,Cardio,24.3,3.1,3,1,19.3,7.0,0.650485437,4.553398058,255.2
49,31,Female,47.7,1.54,194,158,75,1.06,Strength,25.0,3.8,7,2,20.0,6.0,0.697478992,4.18487395,211.6
50,34,Female,83.2,1.71,188,150,80,0.95,Cardio,23.8,3.1,4,1,28.5,7.0,0.648148148,4.537037037,358.6
51,53,Male,46.3,1.48,163,141,72,0.67,Mixed,24.0,4.5,2,0,21.1,8.0,0.758241758,6.065934066,188.2
52,57,Female,68.4,1.75,162,134,84,0.54,Cardio,25.8,2.3,2,0,22.4,7.0,0.641025641,4.487179487,165.7
53,21,Male,59.8,1.75,200,158,59,1.14,Strength,13.9,3.9,3,1,19.5,6.0,0.70212766,4.212765957,287.2
54,19,Male,63.1,1.82,203,160,80,0.69,Cardio,20.7,2.8,2,0,19.1,7.0,0.650406504,4.552845528,198.2
55,23,Male,52.1,1.58,205,187,82,0.55,HIIT,25.0,3.1,2,0,20.9,9.5,0.853658537,8.109756098,232.4
56,59,Female,88.5,1.7,164,144,83,0.83,Mixed,25.8,4.4,3,0,30.8,8.0,0.75308642,6.024691358,442.5
57,21,Male,80.3,1.74,200,165,60,1.52,Mixed,16.3,4.0,7,3,26.6,8.0,0.75,6.0,732.3
58,46,Male,65.1,1.72,175,150,78,0.25,Mixed,22.8,3.6,3,0,21.9,8.0,0.742268041,5.93814433,96.6
59,35,Female,71.9,1.59,183,165,61,1.06,HIIT,16.7,4.0,5,2,28.3,9.5,0.852459016,8.098360656,617.2
60,43,Female,49.2,1.45,177,161,70,0.7,HIIT,26.8,2.8,4,1,23.4,9.5,0.85046729,8.079439252,278.3
61,51,Male,86.5,1.71,173,158,74,1.08,HIIT,25.4,3.4,2,0,29.4,9.5,0.848484848,8.060606061,753.0
62,27,Male,91.0,1.66,189,135,69,1.14,Yoga,19.5,4.3,5,1,32.8,3.0,0.55,1.65,171.2
63,53,Female,74.1,1.62,169,146,76,0.56,Mixed,15.6,3.4,5,1,28.1,8.0,0.752688172,6.021505376,249.9
64,31,Male,75.2,1.76,188,152,66,1.04,Strength,15.0,3.6,5,2,24.4,6.0,0.704918033,4.229508197,330.8
65,48,Male,75.2,1.68,181,141,68,1.05,Cardio,15.8,3.4,5,3,26.8,7.0,0.646017699,4.522123894,357.1
66,32,Male,57.7,1.55,189,139,76,0.25,Yoga,21.7,3.1,3,0,24.1,3.0,0.557522124,1.672566372,24.1
67,25,Female,39.8,1.49,197,154,76,0.71,Cardio,21.8,3.6,4,2,18.0,7.0,0.644628099,4.512396694,127.5
68,31,Male,52.5,1.57,185,148,81,0.6,Cardio,28.8,2.2,3,0,21.4,7.0,0.644230769,4.509615385,142.1
69,40,Female,72.9,1.9,187,170,75,0.44,HIIT,22.1,2.6,2,0,20.2,9.5,0.848214286,8.058035714,258.5
70,57,Female,65.4,1.75,166,125,76,0.66,Yoga,27.3,4.2,3,0,21.3,3.0,0.544444444,1.633333333,70.5
71,38,Female,90.0,1.7,189,150,61,0.93,Strength,18.1,4.1,4,2,31.2,6.0,0.6953125,4.171875,349.2
72,33,Male,78.7,1.66,186,147,76,0.64,Cardio,22.3,2.9,3,0,28.5,7.0,0.645454545,4.518181818,227.6
73,35,Female,70.6,1.66,185,143,65,0.92,Cardio,22.7,2.4,3,1,25.8,7.0,0.65,4.55,295.5
74,41,Male,88.0,1.8,172,127,72,1.0,Yoga,22.7,4.3,5,2,27.2,3.0,0.55,1.65,145.2
75,43,Female,47.9,1.63,186,149,63,1.25,Strength,15.3,4.8,6,2,18.0,6.0,0.699186992,4.195121951,251.2
76,42,Male,81.3,1.74,180,144,62,1.42,Strength,10.5,4.7,7,3,26.9,6.0,0.694915254,4.169491525,481.4
77,58,Male,75.1,1.65,171,139,64,0.52,Strength,29.1,3.2,3,0,27.8,6.0,0.700934579,4.205607477,164.2
78,46,Male,63.2,1.87,172,136,69,1.27,Cardio,18.2,3.7,3,1,18.0,7.0,0.650485437,4.553398058,365.5
79,32,Female,83.3,1.75,190,171,58,1.09,HIIT,16.8,3.4,6,3,27.1,9.5,0.856060606,8.132575758,738.4
80,18,Male,59.6,1.8,205,149,80,0.43,Yoga,25.3,3.5,2,0,18.3,3.0,0.552,1.656,42.4
81,42,Male,47.3,1.62,180,146,68,1.22,Strength,25.8,4.2,5,2,18.0,6.0,0.696428571,4.178571429,241.1
82,24,Female,93.5,1.79,194,177,80,0.41,HIIT,34.9,2.4,3,0,29.3,9.5,0.850877193,8.083333333,309.9
83,26,Female,54.3,1.65,192,154,67,1.03,Strength,23.0,4.1,5,2,20.0,6.0,0.696,4.176,233.6
84,41,Male,60.4,1.69,177,140,71,0.99,Cardio,17.4,3.3,5,2,21.1,7.0,0.650943396,4.556603774,272.5
85,18,Female,95.0,1.84,205,162,62,1.31,Strength,15.2,4.0,5,3,28.0,6.0,0.699300699,4.195804196,522.2
86,25,Female,56.6,1.58,192,147,63,0.78,Cardio,17.5,2.5,5,1,22.8,7.0,0.651162791,4.558139535,201.2
87,41,Female,67.3,1.7,169,122,65,1.07,Yoga,24.3,4.2,6,2,23.3,3.0,0.548076923,1.644230769,118.4
88,28,Male,68.9,1.72,192,151,75,0.25,Cardio,26.2,2.1,2,0,23.2,7.0,0.64957265,4.547008547,78.3
89,34,Female,76.2,1.73,186,147,55,0.74,Strength,30.6,3.2,4,1,25.4,6.0,0.702290076,4.213740458,237.6
90,25,Male,61.7,1.63,193,161,65,0.93,Mixed,29.2,4.5,3,1,23.1,8.0,0.75,6.0,344.3
91,52,Female,87.2,1.89,165,152,80,0.89,HIIT,26.1,3.5,4,1,24.5,9.5,0.847058824,8.047058824,624.5
92,52,Female,52.9,1.55,167,132,69,0.52,Cardio,22.0,3.2,3,1,22.0,7.0,0.642857143,4.5,123.8
93,50,Male,84.7,1.83,163,127,59,1.13,Cardio,15.9,3.4,7,3,25.4,7.0,0.653846154,4.576923077,438.1
94,22,Female,82.0,1.8,205,170,64,0.62,Mixed,32.7,3.8,3,0,25.3,8.0,0.75177305,6.014184397,305.8
95,59,Female,110.5,1.87,162,134,68,0.25,Strength,28.9,2.5,3,0,31.6,6.0,0.70212766,4.212765957,116.4
96,56,Female,52.0,1.52,165,149,62,1.33,HIIT,11.0,3.9,7,3,22.5,9.5,0.844660194,8.024271845,555.0
97,58,Female,59.0,1.59,167,152,68,0.77,HIIT,23.6,3.7,4,1,23.3,9.5,0.848484848,8.060606061,366.2
98,45,Male,83.5,1.83,189,170,64,0.72,HIIT,22.4,3.6,4,1,25.0,9.5,0.848,8.056,484.3
99,24,Male,62.0,1.49,194,177,81,0.7,HIIT,21.3,2.9,3,0,27.9,9.5,0.849557522,8.07079646,350.3
100,26,Male,45.3,1.52,196,140,71,0.27,Yoga,27.7,3.7,3,0,19.6,3.0,0.552,1.656,20.3
101,25,Male,65.0,1.63,199,153,68,0.76,Cardio,18.2,3.1,3,0,24.4,7.0,0.648854962,4.541984733,224.4
102,29,Male,52.0,1.7,194,141,75,0.67,Yoga,26.5,3.5,2,0,18.0,3.0,0.554621849,1.663865546,58.0
103,51,Male,77.5,1.84,174,125,66,0.44,Yoga,18.8,3.8,5,1,22.9,3.0,0.546296296,1.638888889,55.9
104,50,Male,78.1,1.66,175,140,61,0.98,Strength,13.8,3.8,7,2,28.3,6.0,0.692982456,4.157894737,318.2
105,40,Female,55.3,1.62,178,137,60,1.32,Cardio,18.8,3.6,6,3,21.1,7.0,0.652542373,4.56779661,333.4
106,41,Male,72.3,1.71,185,151,72,0.41,Strength,26.2,3.1,2,0,24.7,6.0,0.699115044,4.194690265,124.3
107,54,Male,65.3,1.73,165,121,67,0.43,Yoga,15.3,3.3,3,0,21.9,3.0,0.551020408,1.653061224,46.4
108,52,Male,61.1,1.72,169,140,73,0.69,Strength,16.6,3.3,3,1,20.6,6.0,0.697916667,4.1875,176.5
109,57,Female,77.0,1.66,166,127,79,0.25,Yoga,33.4,3.2,3,0,27.9,3.0,0.551724138,1.655172414,31.9
110,39,Male,43.7,1.48,177,149,64,0.92,Mixed,8.0,4.4,7,2,19.8,8.0,0.752212389,6.017699115,241.9
111,44,Male,63.5,1.59,178,131,73,0.95,Yoga,24.4,4.0,4,1,25.2,3.0,0.552380952,1.657142857,100.0
112,52,Male,83.8,1.82,171,132,58,1.31,Cardio,8.0,3.5,5,3,25.2,7.0,0.654867257,4.584070796,503.2
113,18,Female,59.4,1.7,193,154,65,0.27,Strength,21.6,3.5,3,0,20.6,6.0,0.6953125,4.171875,66.9
114,52,Male,66.9,1.65,175,161,79,0.35,HIIT,24.1,3.1,3,0,24.6,9.5,0.854166667,8.114583333,190.0
115,54,Female,65.0,1.79,162,149,75,1.03,HIIT,29.7,3.9,3,0,20.3,9.5,0.850574713,8.08045977,541.0
116,31,Female,64.1,1.57,190,150,76,0.5,Cardio,36.2,2.5,2,0,26.1,7.0,0.649122807,4.543859649,145.6
117,20,Female,51.5,1.66,205,163,64,0.9,Strength,17.6,3.9,4,2,18.7,6.0,0.70212766,4.212765957,195.3
118,18,Female,65.0,1.69,205,183,59,0.84,HIIT,16.2,3.6,7,3,22.6,9.5,0.849315068,8.068493151,440.5
119,22,Male,61.5,1.64,203,165,76,0.63,Strength,26.4,3.3,2,0,23.0,6.0,0.700787402,4.204724409,162.9
120,43,Female,81.3,1.69,183,167,76,0.63,HIIT,25.4,3.3,2,0,28.5,9.5,0.85046729,8.079439252,413.8
121,31,Female,67.8,1.66,187,150,81,0.57,Cardio,29.2,3.1,2,0,24.6,7.0,0.650943396,4.556603774,176.1
122,56,Male,66.0,1.54,159,146,72,0.94,HIIT,19.4,3.6,3,1,27.8,9.5,0.850574713,8.08045977,501.3
123,44,Female,75.6,1.7,178,163,76,0.77,HIIT,27.6,3.2,5,1,26.2,9.5,0.852941176,8.102941176,471.7
124,26,Female,62.7,1.55,198,179,73,0.94,HIIT,23.7,3.4,5,2,26.2,9.5,0.848,8.056,474.8
125,32,Female,65.3,1.7,194,146,57,1.0,Cardio,20.5,3.5,6,2,22.7,7.0,0.649635036,4.547445255,296.9
126,32,Female,92.8,1.82,192,140,76,0.65,Yoga,22.1,4.1,5,1,28.1,3.0,0.551724138,1.655172414,99.8
127,43,Female,61.6,1.65,175,144,73,1.12,Strength,20.5,4.6,5,1,22.6,6.0,0.696078431,4.176470588,288.1
128,59,Female,44.0,1.56,165,141,67,1.1,Mixed,24.9,4.2,7,2,18.0,8.0,0.755102041,6.040816327,292.4
129,30,Male,64.3,1.67,179,153,75,1.08,Mixed,24.4,4.5,5,1,23.1,8.0,0.75,6.0,416.7
130,49,Male,65.8,1.6,177,162,74,0.58,HIIT,26.3,2.8,3,0,25.8,9.5,0.854368932,8.116504854,309.8
131,56,Male,54.5,1.74,160,135,78,0.37,Strength,25.8,3.2,2,0,18.0,6.0,0.695121951,4.170731707,84.1
132,49,Male,56.7,1.67,166,152,70,0.6,HIIT,28.9,2.8,3,0,20.5,9.5,0.854166667,8.114583333,276.1
133,21,Female,65.4,1.85,205,162,63,1.39,Strength,21.0,4.3,4,1,19.1,6.0,0.697183099,4.183098592,380.3
134,47,Female,87.6,1.8,173,148,73,0.9,Mixed,34.6,3.8,4,1,27.1,8.0,0.75,6.0,473.0
135,54,Female,85.1,1.66,165,151,75,0.68,HIIT,34.3,2.8,3,0,30.7,9.5,0.844444444,8.022222222,464.2
136,40,Male,71.1,1.75,174,158,65,0.95,HIIT,18.5,3.3,4,2,23.2,9.5,0.853211009,8.105504587,547.5
137,56,Male,70.3,1.64,166,136,66,0.82,Strength,23.6,3.5,3,1,26.1,6.0,0.7,4.2,242.1
138,32,Female,73.7,1.68,192,140,77,0.34,Yoga,28.7,3.5,3,0,26.0,3.0,0.547826087,1.643478261,41.2
139,46,Female,81.6,1.64,172,156,63,0.71,HIIT,16.0,3.2,5,2,30.2,9.5,0.853211009,8.105504587,469.6
140,53,Male,66.0,1.76,156,133,65,0.92,Mixed,17.1,4.2,5,2,21.4,8.0,0.747252747,5.978021978,363.0
141,30,Male,76.9,1.82,198,179,73,0.31,HIIT,26.4,2.6,2,0,23.1,9.5,0.848,8.056,192.0
142,49,Male,70.1,1.76,170,130,56,1.32,Cardio,12.8,3.1,7,3,22.6,7.0,0.649122807,4.543859649,420.5
143,24,Male,76.3,1.77,194,152,74,0.46,Cardio,21.4,2.9,2,0,24.3,7.0,0.65,4.55,159.7
144,39,Female,106.9,1.77,181,131,71,1.01,Yoga,20.6,4.6,6,2,34.0,3.0,0.545454545,1.636363636,176.7
145,45,Male,72.6,1.74,171,137,58,1.14,Strength,8.0,4.0,5,3,24.1,6.0,0.699115044,4.194690265,347.2
146,19,Male,50.5,1.57,205,156,64,1.03,Cardio,16.9,3.5,7,2,20.6,7.0,0.65248227,4.567375887,237.6
147,59,Female,66.3,1.85,165,149,64,0.71,HIIT,26.8,2.9,4,2,19.4,9.5,0.841584158,7.995049505,376.4
148,23,Female,100.4,1.86,199,178,57,1.31,HIIT,17.5,3.6,7,3,29.0,9.5,0.852112676,8.095070423,1064.7
149,45,Female,56.4,1.66,187,155,81,0.25,Strength,25.9,2.4,2,0,20.6,6.0,0.698113208,4.188679245,59.1
150,45,Male,71.9,1.64,172,135,68,0.54,Cardio,26.6,2.4,3,0,26.7,7.0,0.644230769,4.509615385,175.1
151,37,Male,64.5,1.74,189,159,70,1.08,Mixed,17.2,4.3,3,1,21.3,8.0,0.74789916,5.983193277,416.8
152,47,Male,57.0,1.74,162,130,56,1.54,Strength,9.7,4.4,5,3,18.9,6.0,0.698113208,4.188679245,367.7
153,28,Male,72.8,1.66,195,165,73,0.67,Mixed,14.0,4.3,3,1,26.4,8.0,0.754098361,6.032786885,294.3
154,45,Female,51.9,1.55,186,167,61,1.14,HIIT,13.1,3.5,7,3,21.5,9.5,0.848,8.056,476.6
155,42,Female,75.2,1.71,173,150,81,0.62,Mixed,28.5,3.8,2,0,25.7,8.0,0.75,6.0,279.7
156,56,Male,78.3,1.74,172,141,69,1.09,Strength,16.2,3.7,7,2,26.0,6.0,0.699029126,4.194174757,358.0
157,50,Male,80.4,1.75,163,127,60,0.75,Cardio,15.4,3.1,7,3,26.2,7.0,0.650485437,4.553398058,274.6
158,18,Male,67.4,1.71,205,166,74,0.55,Strength,18.4,3.1,5,1,22.9,6.0,0.702290076,4.213740458,156.2
159,44,Female,73.1,1.65,174,124,64,1.13,Yoga,15.6,4.8,6,3,26.7,3.0,0.545454545,1.636363636,135.2
160,30,Male,64.3,1.78,186,134,70,0.66,Yoga,23.1,3.9,3,0,20.3,3.0,0.551724138,1.655172414,70.2
161,58,Female,51.2,1.69,159,135,64,1.18,Mixed,12.9,4.5,7,3,18.0,8.0,0.747368421,5.978947368,361.2
162,20,Male,71.6,1.63,200,179,61,1.05,HIIT,9.7,3.8,7,3,26.8,9.5,0.848920863,8.064748201,606.3
163,56,Female,68.1,1.66,163,133,77,0.83,Cardio,23.7,3.3,3,0,24.7,7.0,0.651162791,4.558139535,257.6
164,23,Female,48.9,1.51,197,165,68,1.17,Mixed,28.5,4.6,3,1,21.6,8.0,0.751937984,6.015503876,344.2
165,25,Male,50.0,1.66,197,157,66,0.57,Strength,17.4,3.1,5,1,18.1,6.0,0.694656489,4.167938931,118.8
166,44,Female,55.1,1.75,177,129,70,0.77,Yoga,27.5,4.0,3,0,18.0,3.0,0.551401869,1.654205607,70.2
167,26,Female,71.1,1.71,194,146,58,0.77,Cardio,25.3,3.0,3,0,24.2,7.0,0.647058824,4.529411765,248.0
168,54,Male,102.7,1.83,164,122,71,0.44,Yoga,26.2,3.4,2,0,30.6,3.0,0.548387097,1.64516129,74.3
169,50,Female,64.1,1.65,172,141,82,0.86,Cardio,22.5,2.9,3,1,23.4,7.0,0.655555556,4.588888889,253.0
170,59,Male,67.4,1.73,163,132,74,0.71,Cardio,33.2,2.5,3,1,22.6,7.0,0.651685393,4.561797753,218.3
171,41,Female,74.0,1.76,181,127,62,1.34,Yoga,13.2,5.1,6,3,23.9,3.0,0.546218487,1.638655462,162.5
172,32,Female,118.1,1.9,188,139,80,0.5,Yoga,26.9,3.4,3,0,32.7,3.0,0.546296296,1.638888889,96.8
173,49,Female,77.5,1.69,168,136,64,0.89,Strength,16.6,4.3,4,2,27.0,6.0,0.692307692,4.153846154,286.5
174,49,Female,50.3,1.58,171,142,73,0.59,Strength,34.8,3.6,3,0,20.3,6.0,0.704081633,4.224489796,125.4
175,41,Male,75.1,1.76,178,138,64,1.4,Cardio,9.6,3.3,5,2,24.1,7.0,0.649122807,4.543859649,477.7
176,58,Male,88.3,1.87,152,123,56,0.97,Strength,13.5,3.7,7,3,25.3,6.0,0.697916667,4.1875,358.7
177,29,Male,53.7,1.65,196,157,67,0.95,Strength,23.1,3.4,5,1,19.8,6.0,0.697674419,4.186046512,213.6
178,56,Female,84.1,1.76,165,138,75,0.41,Strength,29.1,2.7,3,0,27.0,6.0,0.7,4.2,144.8
179,19,Female,67.4,1.8,201,155,70,1.02,Cardio,28.7,3.3,4,1,20.7,7.0,0.648854962,4.541984733,312.3
180,20,Male,57.1,1.78,203,184,82,0.83,HIIT,28.8,3.7,2,0,18.0,9.5,0.842975207,8.008264463,379.5
181,54,Male,69.6,1.69,162,149,75,0.8,HIIT,20.8,3.6,4,1,24.3,9.5,0.850574713,8.08045977,449.9
182,34,Male,61.4,1.61,193,161,68,0.37,Mixed,25.3,3.7,3,0,23.7,8.0,0.744,5.952,135.2
183,19,Male,67.1,1.67,205,185,74,0.44,HIIT,24.1,3.2,3,0,24.0,9.5,0.847328244,8.049618321,237.7
184,19,Female,62.4,1.73,195,134,59,1.09,Yoga,17.6,4.0,6,2,20.9,3.0,0.551470588,1.654411765,112.5
185,45,Male,67.4,1.77,172,119,55,1.37,Yoga,15.9,4.7,5,3,21.5,3.0,0.547008547,1.641025641,151.5
186,40,Female,83.7,1.71,183,149,70,1.01,Strength,21.7,3.5,5,1,28.5,6.0,0.699115044,4.194690265,354.6
187,54,Male,69.5,1.64,167,145,78,0.38,Mixed,27.1,3.8,2,0,25.8,8.0,0.752808989,6.02247191,159.1
188,49,Female,60.8,1.74,171,142,75,0.7,Strength,27.2,3.9,3,0,20.2,6.0,0.697916667,4.1875,178.2
189,50,Male,56.1,1.77,172,139,62,1.06,Strength,8.0,3.7,6,3,18.0,6.0,0.7,4.2,249.8
190,18,Male,60.0,1.72,193,172,58,1.28,HIIT,13.5,3.7,7,3,20.3,9.5,0.844444444,8.022222222,616.1
191,36,Female,62.8,1.6,179,147,70,0.56,Strength,27.7,3.1,3,0,24.6,6.0,0.706422018,4.23853211,149.1
192,19,Female,59.3,1.66,198,163,58,1.25,Mixed,13.0,4.3,7,3,21.5,8.0,0.75,6.0,444.7
193,43,Male,66.7,1.77,181,164,67,1.08,HIIT,11.9,3.9,6,3,21.2,9.5,0.850877193,8.083333333,582.3
194,49,Female,51.4,1.54,160,139,77,1.15,Mixed,24.8,4.1,3,0,21.6,8.0,0.746987952,5.975903614,353.2
195,23,Male,51.3,1.47,198,156,57,1.33,Strength,14.5,4.0,7,2,23.7,6.0,0.70212766,4.212765957,287.4
196,49,Female,91.0,1.83,169,140,71,1.12,Strength,18.2,3.4,3,1,27.1,6.0,0.704081633,4.224489796,430.6
197,21,Male,71.9,1.73,202,184,81,0.63,HIIT,22.2,2.8,2,0,24.0,9.5,0.851239669,8.08677686,366.3
198,28,Male,73.5,1.74,196,155,79,0.67,Cardio,27.2,2.8,3,0,24.2,7.0,0.64957265,4.547008547,223.9
199,34,Male,57.1,1.57,194,177,76,0.5,HIIT,22.1,3.1,3,1,23.1,9.5,0.855932203,8.131355932,232.2
200,55,Male,67.7,1.75,159,123,55,0.99,Cardio,17.9,3.2,7,3,22.0,7.0,0.653846154,4.576923077,306.8
201,41,Male,80.4,1.71,175,137,66,1.03,Cardio,19.6,3.4,6,2,27.6,7.0,0.651376147,4.559633028,377.6
202,22,Male,62.4,1.52,198,179,73,0.81,HIIT,23.7,3.1,3,0,27.0,9.5,0.848,8.056,407.2
203,51,Male,106.9,1.82,176,145,73,0.96,Strength,22.2,3.2,3,1,32.2,6.0,0.699029126,4.194174757,430.4
204,23,Male,76.0,1.7,199,166,66,0.88,Mixed,22.8,4.5,5,1,26.4,8.0,0.751879699,6.015037594,402.3
205,39,Female,59.2,1.64,182,147,66,0.92,Strength,32.5,3.4,4,1,22.0,6.0,0.698275862,4.189655172,228.2
206,28,Female,55.0,1.64,198,152,65,1.1,Cardio,21.3,3.6,4,2,20.4,7.0,0.654135338,4.578947368,277.0
207,33,Female,60.8,1.48,185,131,65,0.54,Yoga,27.9,3.6,5,1,27.8,3.0,0.55,1.65,54.2
208,50,Male,62.7,1.74,176,151,76,0.4,Mixed,28.4,4.0,3,0,20.7,8.0,0.75,6.0,150.5
209,26,Male,79.3,1.71,203,161,65,0.68,Strength,32.4,3.5,2,0,27.2,6.0,0.695652174,4.173913043,225.1
210,23,Male,57.8,1.66,196,142,76,0.54,Yoga,22.7,3.4,3,1,21.0,3.0,0.55,1.65,51.5
